Rubric Metadata												Criteria (e.g. Metric) Metadata																									
Rubric:  Title	Rubric:  Authors	Rubric:  Coresponding Author	Rubric:  Version	Rubric:  Website or Repository URL	Rubric:  License	Rubric:  License Type	Certification Method:  Present	Scoring Method:  Present	Scoring Output	Implementation Evidence	Community Focus	Criteria:  Title	Criteria:  Code (Assigned by Rubric)	Criteria:  Unique Identifier (e.g. DOI)	Measurement Method	Research Resource:  Type	No Direct Mapping	F aligned:  No requirement mapping	Requirement:  F1	Requirement:  F2	Requirement:  F3	Requirement:  F4	A aligned:  No requirement mapping	Requirement:  A1	Requirement:  A1.1	Requirement:  A1.2	Requirement:  A2	I aligned:  No requirement mapping	Requirement: I1	Requirement: I2	Requirement:  I3	R aligned:  No requirement mapping	Requirement: R1	Requirement: R1.1	Requirement: R1.2	Requirement: R1.3	There is a comment
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	Metadata should be accessible even when the data is no longer available	A2		Present or Absent	All Resources	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta)data use a formal, accessible, shared and broadly applicable language for knowledge representation	I1		Qualitative Review	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta)data use vocabularies that follow the FAIR principles	I2		Qualitative Review	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta)data include qualified references to other (meta)data	I3		Qualitative Review	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	meta(data) are richly described with a plurality of accurate and relevant attributes	R1		Qualitative Review	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta)data are released with a clear and accessible data usage license	R1.1		Present or Absent	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta)data are associated with detailed provenance	R1.2		Qualitative Review	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FAIR Data Principles Explained	Erik Schultes (Editor); DTL, Luiz Bonino; DTL, Michel Dumontier; Maastricht University, S.C. Edmunds; Executive Editor Giga Science, Sarah Gerster; Swiss National Science Foundation, Peter-Bram 't Hoen; LUMC, Albert Mons; DTL, Mark Wilkinson; UPM	Unknown	Unknown	https://www.dtls.nl/fair-data/fair-principles-explained/	All Rights Reserved	Copyright	0	0	Null	0	All	(meta)data meet domain-relevant community standards	R1.3		Qualitative Review	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology		Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	1	1	Combination	1	Biomedical	The tool has a unique name and an informative description.	1		Qualitative Review	Tool	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	The tool can be freely downloaded or accessed from a webpage.	2		Present or Absent	Tool	0	0	0													1					
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	1	1	Combination	1	Biomedical	A paper about the tool has been published.	3		Present or Absent	Tool	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Tutorials for the tool are available on the tool's homepage.	4		Present or Absent	Tool	0	0														1					
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Source code is shared in a public repository and is documented.	5		Present or Absent	Tool	0	0														1					
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Previous versions of the tool are made available.	6		Present or Absent	Tool	0	0										0				1					
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Contact information is provided for the creator(s) of the tool.	7		Present or Absent	Tool	0	0																	1		
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Information is provided describing how to cite the tool.	8		Present or Absent	Tool	0	0														1					
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	1	1	Combination	1	Biomedical	Licensing information is provided on the tool's homepage.	9		Present or Absent	Tool	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	The structure of the repository permits efficient discovery of data and metadata by end users.	1		Qualitative Review	Data Repository	0	1																			
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	The repository uses a standardized protocol to permit access by users.	2		Present or Absent	Data Repository								1													
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	The repository provides contact information for staff to enable users with questions or suggestions to interact with repository experts.	3		Present or Absent	Data Repository	0															0			1		
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	1	1	Combination	1	Biomedical	Tools that can be used to analyze each dataset are listed on the corresponding dataset pages.	4		Present or Absent	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	The repository maintains licenses to manage data access and use.	5		Present or Absent	Data Repository																		1			
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	1	1	Combination	1	Biomedical	The repository hosts data and metadata according to a set of defined criteria to ensure that the resources provided are consistent with the intent of the repository.	6		Qualitative Review	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	The repository provides documentation for each resource to permit its complete and accurate citation.	7		Qualitative Review	Data Repository																			1		
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	1	1	Combination	1	Biomedical	A description of the methods used to acquire the data is provided.	8		Present or Absent	Data Repository	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Version information is provided for each resource, where available.	9		Present or Absent	Data Repository																	1		0		
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	A standardized ID or accession number is used to identify the dataset.	1		Present or Absent	Data Set		1																			
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	The dataset is described with metadata using a formal, broadly applicable vocabulary.	2		Qualitative Review	Data Set													1								
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	1	1	Combination	1	Biomedical	Information is provided on the experimental methods used to generate the data.	3		Present or Absent	Data Set	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	The dataset is hosted in an established data repository, if a relevant repository exists.	4		Qualitative Review	Data Set	1																				
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	1	1	Combination	1	Biomedical	The dataset can be downloaded for free from the repository.	5		Present or Absent	Data Set	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Version information is provided for the dataset.	6		Present or Absent	Data Set																	1		0		
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Contact information is provided for the creator(s) of the dataset.	7		Present or Absent	Data Set																			1		
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Information is provided describing how to cite the dataset.	8		Present or Absent	Data Set																1					
FAIRshake	Ma'ayan Laboratory of Computational Systems Biology	Avi Ma'ayan	Unknown	http://54.175.203.110/fairshake	Unknown	Unknown	0	1	Combination	1	Biomedical	Licensing information is provided on the dataset's landing page.	9		Present or Absent	Data Set																		1			
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Registered	F1	Null	Present or Absent	All Resources	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Discoverable via search engines/applications	F1	Null	Present or Absent	All Resources	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Linked from external resources	F1	Null	Present or Absent	All Resources	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Metadata documented	F2	Null	Present or Absent	All Resources	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Indexed	F2	Null	Present or Absent	All Resources	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Searchable using various mechanisms	F2	Null	Present or Absent	All Resources	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Contactable	F2	Null	Present or Absent	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Dumps	A1	Null	Present or Absent	All Resources	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Query	A1	Null	Present or Absent	All Resources	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Downloads	A1	Null	Present or Absent	All Resources	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	API	A1	Null	Present or Absent	All Resources	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	RESTful	A2	Null	Present or Absent	All Resources	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	JSON	A2	Null	Present or Absent	All Resources	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Retrieval	A2	Null	Present or Absent	All Resources	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Paging	A2	Null	Present or Absent	All Resources	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Versioned	A2	Null	Present or Absent	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Uptime	A2	Null	Present or Absent	All Resources	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Access	A2	Null	Present or Absent	All Resources	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Audience	A3	Null	Present or Absent	All Resources	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Content	A3	Null	Present or Absent	All Resources	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Browsable	A3	Null	Present or Absent	All Resources	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Documented	A3	Null	Present or Absent	All Resources	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR-TLC	Melissa Haendel, Andrew Su, Julie McMurry, Christopher G Chute, Chris Mungall, Benjamin Good, Chunlei Wu, Shannon McWeeney, Harry Hochheiser, Peter Robinson, Maureen Hoatlin, Matthew Brush, Damian Smedley, Monica Munoz-Torres, Guoqian Jiang, Hongfang Liu, Peter McQuilton, Tom Conlin	Melissa Haendel, Andrew Su, Julie McMurry	Null	https://zenodo.org/record/203295#.WzaT7SAnbIV	CC-BY-4.0	Permissive	0	0	Null	0	Biomedical	Tutorials	A3	Null	Present or Absent	All Resources	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
